,pair,clean,raw,name_type
6392,"[[Fort Bridger, unorganized U.S. Territory|fort Bridger]]","Fort Bridger, unorganized U.S. Territory",fort Bridger,place
6396,"[[Carson Valley, Nevada|Carson valley]]","Carson Valley, Nevada",Carson valley,place
6419,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Hariman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Hariman,place
6436,"[[John Taylor, b. 1808|Taylor]] & [[Brigham Young|Brigham Young]]","John Taylor, b. 1808",Taylor]] & [[Brigham You,place
6449,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
6450,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
6462,"[[San Bernardino, San Bernardino County, California|Sanbernadeno]]","San Bernardino, San Bernardino County, California",Sanbernadeno,place
6464,"[[Baltimore, Baltimore County, Maryland|Baltimore]]","Baltimore, Baltimore County, Maryland",Baltimore,place
6468,"[[Ozem Woodruff, b. 1787|Ozem Woodruff]]","Ozem Woodruff, b. 1787",Ozem Woodruff,place
6470,"[[Ezra Carter, b. 1773|Carter]]","Ezra Carter, b. 1773",Carter,place
6471,"[[Ozem Thompson Woodruff, b. 1804|Ozem T Woodruff]]","Ozem Thompson Woodruff, b. 1804",Ozem T Woodruff,place
6478,"[[Carthage Jail, Carthage, Hancock County, Illinois|Carthage Jail]] with his Brother [[Hyrum Smith|Hiram]]","Carthage Jail, Carthage, Hancock County, Illinois",Carthage Jail]] with his Brother [[Hyrum Smi,place
6479,"[[Fort Bridger, unorganized U.S. Territory|Forts Bridger]]","Fort Bridger, unorganized U.S. Territory",Forts Bridger,place
6484,"[[Fort Hall, Idaho Territory|Fort Hall]]","Fort Hall, Idaho Territory",Fort Hall,place
6486,"[[John Taylor, b. 1808|John Taylor]] & [[Charles Coulson Rich|Charles C Rich]]","John Taylor, b. 1808",John Taylor]] & [[Charles Coulson Ri,place
6489,"[[Laramie, unorganized U.S. Territory|Laramie]] the west the summit of the [[Sierra Nevada Mountain Range, United States|Siera Nevada]]","Laramie, unorganized U.S. Territory","Laramie]] the west the summit of the [[Sierra Nevada Mountain Range, United Stat",place
6492,"[[Salt Lake City, Salt Lake County, Utah Territory|salt Lake City]]","Salt Lake City, Salt Lake County, Utah Territory",salt Lake City,place
6498,"[[Hams Fork, Utah Territory|Hams Fork]]","Hams Fork, Utah Territory",Hams Fork,place
6502,"[[John Taylor, b. 1808|John Taylor]] & [[George Albert Smith|G A. Smith]]","John Taylor, b. 1808",John Taylor]] & [[George Albert Smi,place
6508,"[[Hams Fork, Utah Territory|hams Fork]]","Hams Fork, Utah Territory",hams Fork,place
6511,"[[Bear River, unorganized U.S. Territory|Bear River]]","Bear River, unorganized U.S. Territory",Bear River,place
6512,"[[Hams Fork, Utah Territory|hams fork]]","Hams Fork, Utah Territory",hams fork,place
6515,"[[Echo Canyon, Summit County, Utah Territory|Echo Canyon]]","Echo Canyon, Summit County, Utah Territory",Echo Canyon,place
6524,"[[Salt Lake Valley, Utah Territory|valley]]","Salt Lake Valley, Utah Territory",valley,place
6530,"[[Jackson County, Missouri|Jackson County Missouri]]","Jackson County, Missouri",Jackson County Missouri,place
6533,"[[Ogden, Weber County, Utah Territory|Ogden]]","Ogden, Weber County, Utah Territory",Ogden,place
6538,"[[Hams Fork, Utah Territory|hams]]","Hams Fork, Utah Territory",hams,place
6541,"[[Echo Canyon, Summit County, Utah Territory|Echo canyon]]","Echo Canyon, Summit County, Utah Territory",Echo canyon,place
6544,"[[Salt Lake Valley, Utah Territory|valley]]. He was followed by Brother [[Heber Chase Kimball|Kimball]]","Salt Lake Valley, Utah Territory",valley]]. He was followed by Brother [[Heber Chase Kimba,place
6545,"[[Jackson County, Missouri|Jackson County]]","Jackson County, Missouri",Jackson County,place
6550,"[[John Taylor, b. 1808|John Taylors]] Account of the death of [[Joseph Smith Jr.|Joseph]] & [[Hyrum Smith|Hiram]] in [[Carthage Jail, Carthage, Hancock County, Illinois|Carthage Jaill]]","John Taylor, b. 1808",John Taylors]] Account of the death of [[Joseph Smith J,place
6552,"[[Echo Canyon, Summit County, Utah Territory|Echo canyon]]","Echo Canyon, Summit County, Utah Territory",Echo canyon,place
6554,"[[Salt Lake Valley, Utah Territory|valley]]","Salt Lake Valley, Utah Territory",valley,place
6559,"[[Fort Bridger, unorganized U.S. Territory|Fort Bridger]]","Fort Bridger, unorganized U.S. Territory",Fort Bridger,place
6560,"[[Hams Fork, Utah Territory|Hams fork]]","Hams Fork, Utah Territory",Hams fork,place
6566,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
6575,"[[Fort Bridger, unorganized U.S. Territory|Bridger]]","Fort Bridger, unorganized U.S. Territory",Bridger,place
6578,"[[Echo Canyon, Summit County, Utah Territory|Echo Canyon]]","Echo Canyon, Summit County, Utah Territory",Echo Canyon,place
6581,"[[Colorado River, United States|Colorado river]]","Colorado River, United States",Colorado river,place
6584,"[[Echo Canyon, Summit County, Utah Territory|Echo Canyon]]","Echo Canyon, Summit County, Utah Territory",Echo Canyon,place
6585,"[[John Taylor, b. 1808|J Taylor]]","John Taylor, b. 1808",J Taylor,place
6587,"[[Fort Bridger, unorganized U.S. Territory|Bridger]]","Fort Bridger, unorganized U.S. Territory",Bridger,place
6598,"[[Washington, D.C., United States|Washington]]","Washington, D.C., United States",Washington,place
6600,"[[John Taylor, b. 1808|Taylor]]","John Taylor, b. 1808",Taylor,place
6606,"[[Salt Lake City, Salt Lake County, Utah Territory|salt Lake]]","Salt Lake City, Salt Lake County, Utah Territory",salt Lake,place
6619,"[[Washington, D.C., United States|Washington]]","Washington, D.C., United States",Washington,place
6631,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
6645,"[[William Miller, b. 1814|Miller]]","William Miller, b. 1814",Miller,place
6646,"[[Carthage Jail, Carthage, Hancock County, Illinois|Carthage]]","Carthage Jail, Carthage, Hancock County, Illinois",Carthage,place
6649,"[[Laramie, unorganized U.S. Territory|Laramie]]","Laramie, unorganized U.S. Territory",Laramie,place
6658,"[[Fort Hall, Idaho Territory|fort Hall]]","Fort Hall, Idaho Territory",fort Hall,place
6680,"[[John Taylor, b. 1808|John Taylor]], [[Orson Hyde|Orson Hyde]]","John Taylor, b. 1808","John Taylor]], [[Orson Hy",place
6685,"[[Santa Clara, Washington County, Utah Territory|Santa Clara]]","Santa Clara, Washington County, Utah Territory",Santa Clara,place
6697,"[[John Taylor, b. 1808|J Taylor]] Capt [[William Henry Hooper|Hooper]] [[Joseph Young|Joseph Young]] [[Ferrymore Little|Ferrymore Little]]","John Taylor, b. 1808",J Taylor]] Capt [[William Henry Hoop,place
6702,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
6708,"[[Liverpool, Lancashire, England|Liverpool]]","Liverpool, Lancashire, England",Liverpool,place
6720,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G.S.L.]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G.S.L.,place
6739,"[[John Taylor, b. 1808|John Taylor]] [[Erastus Snow|Erastus Snow]] & [[Franklin Dewey Richards|Franklin Richards]]","John Taylor, b. 1808",John Taylor]] [[Erastus Sn,place
6750,"[[John Taylor, b. 1808|John Taylor]] & [[Erastus Snow|Erastus Snow]]","John Taylor, b. 1808",John Taylor]] & [[Erastus Sn,place
6790,"[[Azmon Woodruff, b. 1802|Azmon]] & [[Ozem Thompson Woodruff, b. 1804|Thompson Woodruff]]","Azmon Woodruff, b. 1802","Azmon]] & [[Ozem Thompson Woodruff, b. 18",place
6888,"[[Ozem Woodruff, b. 1787|Ozem Woodruff]]","Ozem Woodruff, b. 1787",Ozem Woodruff,place
6983,"[[John Taylor, b. 1808|J. Taylor]]","John Taylor, b. 1808",J. Taylor,place
7114,"[[Aphek Woodruff, b. 1778|Aphek Woodruff]]","Aphek Woodruff, b. 1778",Aphek Woodruff,place
7296,"[[Washington, D.C., United States|Washington]]","Washington, D.C., United States",Washington,place
7300,"[[New York City, New York County, New York|New York]] [[New Orleans, Louisiana|New Orleans]] Mobeal [[Memphis, Shelby County, Tennessee|Memphis]]","New York City, New York County, New York","New York]] [[New Orleans, Louisia",place
7301,"[[Cincinnati, Hamilton County, Ohio|Cincinnati]]","Cincinnati, Hamilton County, Ohio",Cincinnati,place
7303,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|City of the Great Salt Lake]] [[Utah Territory|Great Bason]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",City of the Great Salt Lake]] [[Utah Territo,place
7304,"[[Salt Lake Valley, Utah Territory|valley]]","Salt Lake Valley, Utah Territory",valley,place
7305,"[[Great Salt Lake, Utah Territory|Grate Salt Lake]], and the Saints of the [[Sacramento Valley, Mexican Cession Territory|valley of the Sacramento]]","Great Salt Lake, Utah Territory","Grate Salt Lake]], and the Saints of the [[Sacramento Valley, Mexican Cession Territo",place
7308,"[[Boston, Suffolk County, Massachusetts|Boston]]","Boston, Suffolk County, Massachusetts",Boston,place
7322,"[[Boston, Suffolk County, Massachusetts|Boston]] to [[Cambridgeport, Cambridge, Middlesex County, Massachusetts|Cambridgeport]]","Boston, Suffolk County, Massachusetts","Boston]] to [[Cambridgeport, Cambridge, Middlesex County, Massachuset",place
7327,"[[Salt Lake Valley, Utah Territory|valley]]. I went into [[Boston, Suffolk County, Massachusetts|Boston]]","Salt Lake Valley, Utah Territory","valley]]. I went into [[Boston, Suffolk County, Massachuset",place
7328,"[[Sacramento Valley, Mexican Cession Territory|valley of the sacramento]]","Sacramento Valley, Mexican Cession Territory",valley of the sacramento,place
7330,"[[San Francisco Bay, California|Bay of San Francisco]]","San Francisco Bay, California",Bay of San Francisco,place
7335,"[[Boston, Suffolk County, Massachusetts|Boston]] with Mrs [[Phebe Whittemore Carter Woodruff|Woodruff]]","Boston, Suffolk County, Massachusetts",Boston]] with Mrs [[Phebe Whittemore Carter Woodru,place
7341,"[[Cambridgeport, Cambridge, Middlesex County, Massachusetts|Cambridgeport]]","Cambridgeport, Cambridge, Middlesex County, Massachusetts",Cambridgeport,place
7343,"[[Peterborough, Hillsborough County, New Hampshire|Peterboro]]","Peterborough, Hillsborough County, New Hampshire",Peterboro,place
7345,"[[Peterborough, Hillsborough County, New Hampshire|Peterboro]]","Peterborough, Hillsborough County, New Hampshire",Peterboro,place
7348,"[[Gilsum, Cheshire County, New Hampshire|Guilsom]]","Gilsum, Cheshire County, New Hampshire",Guilsom,place
7352,"[[Walpole, Cheshire County, New Hampshire|Walpole]]","Walpole, Cheshire County, New Hampshire",Walpole,place
7353,"[[Walpole, Cheshire County, New Hampshire|walpole]]","Walpole, Cheshire County, New Hampshire",walpole,place
7354,"[[Acworth, Sullivan County, New Hampshire|Acworth]]","Acworth, Sullivan County, New Hampshire",Acworth,place
7355,"[[Peterborough, Hillsborough County, New Hampshire|Peterborough]] and spent the night with Br [[Jesse Carter Little|Little]]","Peterborough, Hillsborough County, New Hampshire",Peterborough]] and spent the night with Br [[Jesse Carter Litt,place
7357,"[[Peterborough, Hillsborough County, New Hampshire|Peterborough]]","Peterborough, Hillsborough County, New Hampshire",Peterborough,place
7358,"[[Lowell, Middlesex County, Massachusetts|Lowell]] and spent the night with Br [[Merrill C. Pevey|Pevy]]","Lowell, Middlesex County, Massachusetts",Lowell]] and spent the night with Br [[Merrill C. Pev,place
7359,"[[Lowell, Middlesex County, Massachusetts|Lowell]]","Lowell, Middlesex County, Massachusetts",Lowell,place
7360,"[[Scarborough, Cumberland County, Maine|Scarburough]]","Scarborough, Cumberland County, Maine",Scarburough,place
7361,"[[Ezra Carter, b. 1773|Carter]] and sister [[Sarah Brackett Carter Foss|Foss]]","Ezra Carter, b. 1773",Carter]] and sister [[Sarah Brackett Carter Fo,place
7362,"[[Boston, Suffolk County, Massachusetts|Boston]] then an omnibus and rode to Br [[Alexander Badlam|A Badlams]]","Boston, Suffolk County, Massachusetts",Boston]] then an omnibus and rode to Br [[Alexander Badl,place
7363,"[[Cambridgeport, Cambridge, Middlesex County, Massachusetts|Cambridgeport]]","Cambridgeport, Cambridge, Middlesex County, Massachusetts",Cambridgeport,place
7366,"[[Bedeque, Prince County, Prince Edward Island, British North America|Bedeque]] directed to [[Orson Spencer|Orson Spencer]] of [[Liverpool, Lancashire, England|Liverpo[ol] ]]","Bedeque, Prince County, Prince Edward Island, British North America",Bedeque]] directed to [[Orson Spenc,place
7367,"[[Cambridgeport, Cambridge, Middlesex County, Massachusetts|Cambridgeport]] [[Boston, Suffolk County, Massachusetts|Boston]]","Cambridgeport, Cambridge, Middlesex County, Massachusetts","Cambridgeport]] [[Boston, Suffolk County, Massachuset",place
7368,"[[Boston, Suffolk County, Massachusetts|Boston]]","Boston, Suffolk County, Massachusetts",Boston,place
7370,"[[Boston, Suffolk County, Massachusetts|Boston]]","Boston, Suffolk County, Massachusetts",Boston,place
7372,"[[Cambridgeport, Cambridge, Middlesex County, Massachusetts|Cambridgeport]]","Cambridgeport, Cambridge, Middlesex County, Massachusetts",Cambridgeport,place
7378,"[[Boston, Suffolk County, Massachusetts|Boston]]","Boston, Suffolk County, Massachusetts",Boston,place
7379,"[[Ezra Carter, b. 1773|Ezra Carter sen]] [[Ilus Fabyan Carter|Ilus F Carter]] [[Thomas Cartwright|Thomas Cartwright]]","Ezra Carter, b. 1773",Ezra Carter sen]] [[Ilus Fabyan Cart,place
7384,"[[Ezra Carter, b. 1773|Carter]]","Ezra Carter, b. 1773",Carter,place
7386,"[[Ezra Carter, b. 1773|Fathers]]","Ezra Carter, b. 1773",Fathers,place
7391,"[[Scarborough, Cumberland County, Maine|Scarborough]] with Father [[Ezra Carter, b. 1773|Carter]] & rode to [[Portland, Cumberland County, Maine|Portland]]","Scarborough, Cumberland County, Maine","Scarborough]] with Father [[Ezra Carter, b. 17",place
7392,"[[Halifax, County of Halifax, Nova Scotia, British North America|Halafax]]","Halifax, County of Halifax, Nova Scotia, British North America",Halafax,place
7394,"[[Scarborough, Cumberland County, Maine|Scarborough]]","Scarborough, Cumberland County, Maine",Scarborough,place
7395,"[[Ezra Carter, b. 1773|Carters]]","Ezra Carter, b. 1773",Carters,place
7396,"[[Ezra Carter, b. 1773|Carters]] and night at Sister [[Sarah Brackett Carter Foss|Foss]]","Ezra Carter, b. 1773",Carters]] and night at Sister [[Sarah Brackett Carter Fo,place
7402,"[[Nauvoo Temple, Nauvoo, Hancock County, Illinois|Temple]] of [[Nauvoo, Hancock County, Illinois|Nauvoo]]","Nauvoo Temple, Nauvoo, Hancock County, Illinois","Temple]] of [[Nauvoo, Hancock County, Illino",place
7404,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
7405,"[[Glasgow, Lanarkshire, Scotland|Glasgow]], [[Edinburgh, Edinburghshire, Scotland|Edinburgh]]","Glasgow, Lanarkshire, Scotland","Glasgow]], [[Edinburgh, Edinburghshire, Scotla",place
7407,"[[New Bedford, Bristol County, Massachusetts|New Bedford]]","New Bedford, Bristol County, Massachusetts",New Bedford,place
7415,"[[Boston, Suffolk County, Massachusetts|Boston]] & spent the night at Br [[Alexander Badlam|Badlam]]","Boston, Suffolk County, Massachusetts",Boston]] & spent the night at Br [[Alexander Badl,place
7419,"[[Salt Lake Valley, Utah Territory|Salt Lake Valley]]","Salt Lake Valley, Utah Territory",Salt Lake Valley,place
7421,"[[Boston, Suffolk County, Massachusetts|Boston]] with me I procured some things for my [[Phebe Whittemore Carter Woodruff|wife]]","Boston, Suffolk County, Massachusetts",Boston]] with me I procured some things for my [[Phebe Whittemore Carter Woodru,place
7422,"[[Saco, York County, Maine|Saco]]","Saco, York County, Maine",Saco,place
7426,"[[Boston, Suffolk County, Massachusetts|Boston]]","Boston, Suffolk County, Massachusetts",Boston,place
7429,"[[Lake Cochituate, Massachusetts|Lake Cochituate]]","Lake Cochituate, Massachusetts",Lake Cochituate,place
7433,"[[Boston, Suffolk County, Massachusetts|Boston]]","Boston, Suffolk County, Massachusetts",Boston,place
7442,"[[New Haven, New Haven County, Connecticut|New Haven]]","New Haven, New Haven County, Connecticut",New Haven,place
7444,"[[North Haven, New Haven County, Connecticut|North Haven]] called upon [[Orrin Mansfield|Orrin Mansfield]]","North Haven, New Haven County, Connecticut",North Haven]] called upon [[Orrin Mansfie,place
7445,"[[Fair Haven, New Haven, New Haven County, Connecticut|Fair Haven]]","Fair Haven, New Haven, New Haven County, Connecticut",Fair Haven,place
7446,"[[North Haven, New Haven County, Connecticut|North Haven]] & arived in [[Boston, Suffolk County, Massachusetts|Boston]]","North Haven, New Haven County, Connecticut","North Haven]] & arived in [[Boston, Suffolk County, Massachuset",place
